"Auftragsnummer..None.","Runtime","product_code..None.","Durchsatz..kg.h.","Bahngeschwindigkeit..m.min.","Elektrische.Leistung.Gesamt..kW.","Leistung..kW.","Anlage.Stillstandsgrund....","Produktionsstatus....","Folienprofil.3.Sigma....","Extruder.A.Durchsatz..kg.h.","Extruder.A.Drehzahl..1.min.","Extruder.A.Motorstrom..A.","Extruder.A.Massetemperatur..Â.C.","Extruder.B.Durchsatz..kg.h.","Extruder.B.Drehzahl..1.min.","Extruder.B.Motorstrom..A.","Extruder.B.Massetemperatur..Â.C.","Extruder.C.Durchsatz..kg.h.","Extruder.C.Drehzahl..1.min.","Extruder.C.Motorstrom..A.","Extruder.C.Massetemperatur..Â.C.","Wickler.A.Anpresskraft..N.","Wickler.A.Zentralantrieb.Kraft..N.","Wickler.B.Anpresskraft..N.","Wickler.B.Zentralantrieb.Kraft..N.","Runtime_h","Qty"
"3162049803",25080,94164476.6634769,524.581551608096,52.831378366008,NA,NA,0,18.835326953748,NA,131.794276458034,77.7805416283615,44.2400318979266,198.555821371611,263.533165032784,75.9565391624183,70.1559011164274,217.348883572568,136.60036560375,80.9984849248396,42.6371610845295,198.584130781499,339.954146730463,80.707336523126,369.529505582137,73.9820574162679,6.96666666666667,3654.5848095364
"3162297802",80920,94167939.206104,731.999861601859,58.8846779463539,256.259511282311,NA,0,43.6756456196713,2.95208570130246,203.999840865895,133.895687221582,54.8863215124181,195.850364512542,385.728711877576,119.625132840834,66.4171506239961,195.61201037934,142.247982985302,92.3585813044618,43.7969850488076,192.516125046336,164.969479797356,65.9055974298777,164.974051649574,65.737798097121,22.4777777777778,16453.7302224507
"3162924803",26770,94167937.1019417,784.202535662035,47.7762126673327,282.026973824077,NA,0,40.4641523525019,2.25681228594071,206.318818967675,136.578604520836,56.588498879761,197.095220313667,388.763499561222,131.366990488977,75.2610156833458,196.513442867812,189.176123404699,124.973825384914,49.2255414488424,196.498506348021,157.029499626587,75.6448842419716,157.14787154593,73.890216579537,7.43611111111111,5831.41718879797
"3163326803",28230,94161440.9348442,450.02689048555,49.8946878382403,195.864451144978,NA,0.106940509915014,34.8268413597734,3.32641482184359,109.893074872136,68.1724857685417,36.5938385269122,194.718130311615,230.1374268547,69.2097029421642,60.2985127478754,220.348796033994,110.405492294949,67.7474152072631,35.7970963172805,196.610481586402,131.733711048159,67.0690509915014,131.154390934844,59.4157223796034,7.84166666666667,3528.96086622419
"3163349804",40630,94164414.7867883,549.482408673534,57.3002211100837,227.876423783804,227.924214393892,0,48.257825979788,5.60083483662369,142.295779285802,82.6042153046053,44.9608084791718,191.042395859009,268.385970903847,82.3505791637561,63.4535370963766,233.133103278284,138.804399049837,86.4746366542697,42.6950948977077,191.011584914962,461.463643086024,81.5974858269657,459.669213704708,79.9743652945526,11.2861111111111,6201.51951789046
"3163350803",22700,94166552.992074,723.426550464975,42.0934838093834,249.200657967585,NA,0,41.7357992073976,1.61537947506697,203.895228296479,121.698945166833,48.2157639806253,186.963011889036,357.762144746365,115.445355004227,66.9361514751211,201.113166006165,161.765703571677,103.443592637607,43.1822985468956,193.741963892558,127.616468516072,85.3152796125055,127.41523557904,63.0924702774108,6.30555555555556,4561.60630432081
"3163381803",27670,94168738.0848988,497.555631836026,36.0061784713944,223.62301092203,NA,0,42.3583815028902,3.41037854870964,124.85278763523,69.4057439765489,64.6072976878613,212.348265895954,247.793859200671,66.5596818290005,71.6484826589595,208.280708092486,124.910437782376,70.3459177844097,60.8150289017341,212.508309248555,186.329841040462,124.173049132948,185.296242774566,107.536849710983,7.68611111111111,3824.26787025079
"3164300803",64850,94161429.0015418,509.713042088361,63.3034242241242,219.408357785508,NA,0,49.3931544865865,4.99535982666874,122.872892227432,77.2126732613619,41.63629355535,192.761794634598,263.965377631174,78.9588655253601,69.6230342275671,221.062288004934,122.875582511213,76.1479032447667,40.6893308664817,193.90764724021,137.151711378353,79.8356460067838,137.095744680851,79.0510329941412,18.0138888888889,9181.91410539727
"3164505804",18660,94168634.2388859,565.918024456431,44.7930918439672,236.298135333478,NA,0,45.9694697375469,3.32411664146501,152.53542701382,91.8070166148026,61.0305302624531,219.819496518479,251.701941320075,99.0819496600208,42.4970540974826,194.835565077665,161.682510649768,94.8660424901128,61.1430101767542,216.276914836636,82.6159614354579,83.7653990358864,86.9673272629887,78.1692554900911,5.18333333333333,2933.34176009917
"3164783804",65530,94166751.3283491,519.1822080359,45.1718811114314,234.795336756213,NA,0,45.6325907842539,4.29370659311479,95.145112736981,51.4816903401556,63.3001220628624,188.877174244736,267.257536840686,73.6948585649944,72.0822398535246,208.220323466585,156.779186175442,87.946429981631,67.4105889533109,215.26350320415,159.072322245957,121.844675007629,159.072627403113,121.957430576747,18.2027777777778,9450.55835905347
